IdCompra,FechaCompra,IdProveedor,Total
1,2025-11-12,7,478597000
2,2024-05-01,43,52704000
3,2024-04-29,25,41819000
4,2025-06-09,8,238486000
5,2024-12-21,61,121419000
6,2025-09-15,76,139285000
7,2025-05-03,49,455855000
8,2025-02-14,57,151700000
9,2024-01-20,32,85674000
10,2024-03-20,72,38664000
11,2024-05-30,43,112418000
12,2025-04-02,4,142332000
13,2024-11-15,74,974474000
14,2025-03-12,30,448294000
15,2025-08-12,64,125301000
16,2024-12-03,58,191958000
17,2024-02-05,67,118297000
18,2024-09-20,73,62572000
19,2024-04-03,5,61346000
20,2025-12-22,35,353598000
21,2025-10-29,79,93914000
22,2024-01-26,54,104119000
23,2024-07-04,4,33351000
24,2024-11-14,31,71271000
25,2024-03-15,32,160362000
26,2025-12-25,70,75516000
27,2024-10-02,5,279694000
28,2025-03-14,65,66129000
29,2025-02-21,36,179752000
30,2024-05-08,70,288606000
31,2025-06-24,48,24855000
32,2024-08-05,30,288565000
33,2024-10-28,39,172638000
34,2024-07-31,25,309840000
35,2024-06-15,64,178480000
36,2024-03-23,61,492812000
37,2025-10-11,5,215184000
38,2024-11-02,68,264986000
39,2024-03-22,22,596519000
40,2024-09-02,55,118680000
41,2024-01-19,17,120557000
42,2024-11-05,43,254334000
43,2024-12-07,78,325889000
44,2025-02-04,53,139102000
45,2025-01-14,6,326981000
46,2024-07-15,35,58927000
47,2024-08-20,57,346975000
48,2024-08-08,46,26872000
49,2024-05-29,53,295511000
50,2025-04-19,12,157166000
51,2025-09-25,62,625336000
52,2024-11-06,56,25785000
53,2024-09-21,7,231563000
54,2024-03-19,18,23342000
55,2025-07-09,15,113124000
56,2024-12-02,23,287054000
57,2025-03-07,29,316760000
58,2025-01-31,43,181232000
59,2024-04-06,61,74860000
60,2024-10-28,16,194888000
61,2025-03-21,9,193445000
62,2024-04-08,32,200146000
63,2025-10-31,74,33672000
64,2025-09-16,22,29264000
65,2025-10-09,65,117080000
66,2024-11-22,26,221454000
67,2025-03-01,52,282350000
68,2025-09-16,59,281414000
69,2024-07-27,26,147304000
70,2025-12-12,17,408014000
71,2024-12-28,31,625799000
72,2024-07-05,43,2736000
73,2024-08-06,43,7888000
74,2024-06-07,45,394909000
75,2025-09-07,3,192452000
76,2025-06-30,57,152163000
77,2025-12-28,33,454398000
78,2025-08-26,35,210516000
79,2025-05-27,66,142900000
80,2025-11-28,75,8960000
81,2024-03-20,43,312889000
82,2025-06-23,1,328785000
83,2024-03-05,29,56218000
84,2025-07-31,66,227075000
85,2024-03-15,49,346312000
86,2024-07-04,61,29214000
87,2025-12-25,30,87304000
88,2025-11-04,18,291724000
89,2024-05-09,50,91161000
90,2025-08-02,25,123072000
91,2025-09-24,24,284393000
92,2025-06-03,45,874656000
93,2025-12-26,66,190630000
94,2024-10-13,35,98005000
95,2025-10-23,5,186664000
96,2025-03-19,53,46690000
97,2024-08-10,18,474307000
98,2024-10-10,31,324737000
99,2025-11-21,39,59915000
100,2024-04-23,58,104675000
101,2025-03-21,15,397608000
102,2024-03-25,14,56889000
103,2024-01-01,15,46109000
104,2024-06-22,75,233084000
105,2024-01-31,60,344579000
106,2024-10-14,57,60830000
107,2024-02-26,5,243991000
108,2025-08-14,42,82161000
109,2025-01-12,55,43419000
110,2024-05-06,62,420912000
111,2024-02-22,1,197763000
112,2025-01-24,69,56580000
113,2025-02-12,14,127900000
114,2024-04-08,77,120200000
115,2024-07-17,48,65935000
116,2025-04-27,44,464072000
117,2025-04-28,34,184212000
118,2025-12-09,3,32887000
119,2025-01-17,78,259481000
120,2025-09-18,65,147675000
121,2025-03-26,72,21524000
122,2025-12-31,30,112325000
123,2024-10-11,19,35356000
124,2024-10-05,74,180059000
125,2025-02-10,43,119357000
126,2025-12-17,62,39501000
127,2025-10-22,36,415008000
128,2024-07-15,21,721391000
129,2025-01-05,63,228508000
130,2024-06-19,25,108409000
131,2024-12-25,40,488795000
132,2024-10-18,24,102366000
133,2025-08-17,64,539200000
134,2024-04-07,73,119272000
135,2025-11-27,12,192767000
136,2024-08-25,72,124866000
137,2024-05-09,51,12068000
138,2024-11-05,50,144530000
139,2024-12-08,53,455783000
