IdDetalleCompra,IdCompra,IdProducto,Cantidad,Costo
1,412,101,34,271000
2,4121,138,66,23000
3,2570,65,70,909000
4,2973,139,21,4090000
5,4537,223,11,327000
6,790,89,89,1369000
7,1905,648,78,24000
8,4908,441,56,1093000
9,2631,203,74,1505000
10,947,15,91,1157000
11,2366,787,27,1328000
12,1161,394,45,432000
13,4294,128,74,731000
14,1518,24,17,387000
15,189,230,30,351000
16,3430,690,8,433000
17,4230,515,32,2004000
18,257,509,100,122000
19,4138,551,18,44000
20,173,785,96,2223000
21,3806,678,24,961000
22,2905,133,60,1731000
23,4703,445,8,148000
24,2258,636,74,365000
25,422,384,86,1059000
26,18,786,74,220000
27,25,188,82,272000
28,4115,461,79,2291000
29,2164,91,28,42000
30,938,413,93,3703000
31,1253,261,84,129000
32,1830,157,95,2436000
33,316,647,12,20000
34,4503,673,98,737000
35,2356,765,50,174000
36,1078,607,27,292000
37,3674,649,18,1218000
38,538,93,45,353000
39,1808,162,81,5033000
40,4960,518,98,2170000
41,4093,696,28,505000
42,4314,20,97,1123000
43,2810,53,62,1705000
44,909,217,16,2463000
45,4259,338,48,465000
46,1120,701,59,2669000
47,4973,373,16,1222000
48,2423,134,81,256000
49,2310,303,76,1263000
50,3611,361,24,419000
51,1766,344,94,505000
52,524,422,89,175000
53,888,532,11,1843000
54,3125,77,27,15000
55,4301,407,80,1533000
56,2442,685,36,937000
57,4819,654,61,36000
58,2846,421,51,624000
59,3934,563,99,543000
60,4245,191,62,1171000
61,3417,554,22,450000
62,1796,689,42,2194000
63,533,130,50,2932000
64,4838,292,76,106000
65,3469,702,42,1663000
66,4833,308,28,3663000
67,173,718,69,238000
68,1601,740,34,4885000
69,266,626,10,970000
70,1880,723,86,22000
71,4991,378,82,479000
72,2995,506,66,128000
73,2911,259,19,2119000
74,3385,329,94,30000
75,1512,390,53,400000
76,4399,717,39,581000
77,2366,550,55,142000
78,1337,329,95,24000
79,4515,710,44,4134000
80,2750,322,83,593000
81,2289,736,8,475000
82,351,610,60,3422000
83,539,444,47,32000
84,4187,29,26,1062000
85,2219,612,93,480000
86,4513,75,94,2032000
87,3855,631,54,1047000
88,4788,92,70,1349000
89,2,333,36,1464000
90,4547,681,82,937000
91,4440,687,49,1844000
92,586,545,65,1005000
93,1653,456,76,34000
94,2373,261,49,142000
95,2536,629,46,1882000
96,1749,354,20,1319000
97,3020,575,30,1507000
98,4424,384,46,837000
99,3641,221,38,3289000
100,3857,164,94,715000
101,2059,303,28,1067000
102,2008,26,32,99000
103,298,633,14,271000
104,943,530,22,145000
105,1923,186,12,51000
106,3093,744,74,64000
107,2023,290,50,157000
108,1331,402,7,130000
109,1467,630,34,2918000
110,3354,575,84,1164000
111,3160,775,55,845000
112,588,118,93,75000
113,3078,444,42,33000
114,2331,201,90,724000
115,445,23,35,556000
116,4800,523,79,3173000
117,2587,116,5,3603000
118,1423,97,85,111000
119,491,703,37,2109000
120,1779,403,83,179000
121,4397,518,77,2579000
122,3457,71,53,697000
123,911,291,65,110000
124,2738,416,17,827000
125,55,61,26,112000
126,232,442,12,1978000
127,4664,447,85,1253000
128,2901,285,87,2696000
129,2003,373,37,1457000
130,3922,738,78,1501000
131,1042,635,39,2292000
132,3161,29,15,1291000
133,3467,505,51,46000
134,3860,328,30,296000
135,1995,592,66,124000
136,3669,387,71,374000
137,42,206,18,217000
138,124,738,45,1761000
139,4645,11,96,255000
140,4689,341,77,1431000
141,2606,570,7,748000
142,1631,645,58,1775000
143,4221,375,82,3219000
144,4582,17,41,1973000
145,2112,88,63,1825000
146,1165,88,75,1369000
147,1179,519,38,581000
148,2783,501,83,1772000
149,4425,310,90,3851000
150,4704,670,38,685000
151,3585,339,22,2289000
152,283,125,79,218000
153,1017,650,17,700000
154,4248,571,19,1283000
155,532,302,20,424000
156,4986,567,86,3497000
157,4844,734,84,257000
158,1393,724,43,929000
159,4918,362,6,2910000
160,660,645,14,1763000
161,3039,684,78,124000
162,1688,455,68,112000
163,3959,770,74,341000
164,4276,279,8,3834000
165,350,582,80,1005000
166,3485,142,37,494000
167,4754,607,63,281000
168,3873,78,31,260000
169,3895,691,39,1089000
170,2689,637,23,815000
171,139,64,64,978000
172,3174,736,9,365000
173,1208,430,25,1491000
174,3127,730,51,55000
175,2774,168,94,576000
176,131,568,68,1936000
177,4206,80,82,137000
178,1162,219,13,908000
179,1585,188,22,252000
180,3007,483,16,609000
181,316,535,11,415000
182,2400,622,30,406000
183,3322,166,19,266000
184,395,508,76,1337000
185,1591,16,12,709000
186,3330,478,57,460000
187,2251,667,39,138000
188,4756,241,18,1139000
189,2410,614,44,98000
190,509,370,51,1113000
191,697,156,8,591000
192,995,95,26,414000
193,1193,728,13,481000
194,1906,351,73,44000
195,2030,54,24,276000
196,1158,627,9,448000
197,2229,663,70,619000
198,2325,561,54,682000
199,2562,265,64,220000
200,2502,219,55,1080000
201,167,356,48,179000
202,3480,17,80,2492000
203,3533,101,36,285000
204,1550,363,51,807000
205,473,229,61,263000
206,2649,529,88,433000
207,3370,59,78,589000
208,1159,323,14,1110000
209,4820,351,7,53000
210,3558,83,52,3548000
211,3877,507,49,58000
212,2530,304,27,149000
213,3378,99,75,132000
214,2874,7,19,691000
215,3743,377,95,121000
216,3341,762,74,160000
217,2039,589,27,675000
218,2134,502,37,511000
219,2757,355,92,478000
220,4393,207,88,1388000
221,2708,554,5,557000
222,1324,659,97,995000
223,1678,799,35,213000
224,148,429,97,3025000
225,4096,153,30,598000
226,3847,619,42,1705000
