IdDetalle,IdVenta,IdProducto,Cantidad,PrecioUnitario,Subtotal
1,21600,314,1,3007000,3007000
2,3700,581,3,560000,1680000
3,5305,484,5,1414000,7070000
4,7248,168,1,815000,815000
5,7035,212,2,462000,924000
6,802,599,5,3722000,18610000
7,23102,523,1,4586000,4586000
8,2713,526,1,110000,110000
9,11564,598,1,1443000,1443000
10,9549,407,1,2967000,2967000
11,21498,462,4,664000,2656000
12,18297,519,1,788000,788000
13,18644,74,4,430000,1720000
14,12204,186,1,78000,78000
15,18450,405,5,2050000,10250000
16,12143,473,5,1130000,5650000
17,14762,314,1,3007000,3007000
18,11450,159,1,1260000,1260000
19,15223,173,5,1970000,9850000
20,11822,194,4,197000,788000
21,14934,442,3,2915000,8745000
22,24003,678,2,1873000,3746000
23,6633,386,4,304000,1216000
24,16445,401,4,78000,312000
25,15725,537,2,589000,1178000
26,4327,217,4,3809000,15236000
27,9463,556,5,6250000,31250000
28,1523,595,1,4965000,4965000
29,3049,721,2,705000,1410000
30,2,6,2,1704000,3408000
31,5135,268,3,832000,2496000
32,17076,520,4,2440000,9760000
33,20696,656,2,3701000,7402000
34,20229,237,3,5285000,15855000
35,3956,222,1,212000,212000
36,24546,416,1,1534000,1534000
37,3972,718,5,330000,1650000
38,23907,272,2,238000,476000
39,8272,178,5,1586000,7930000
40,16662,128,4,1373000,5492000
41,2963,117,5,578000,2890000
42,23775,445,2,220000,440000
43,4298,523,4,4586000,18344000
44,16343,278,2,2760000,5520000
45,12804,135,4,276000,1104000
46,21225,507,1,101000,101000
47,12512,372,5,586000,2930000
48,4935,368,5,115000,575000
49,2966,455,3,161000,483000
50,9769,738,1,2670000,2670000
51,16826,94,2,1112000,2224000
52,24131,553,3,3311000,9933000
53,9422,516,2,4197000,8394000
54,9474,457,1,2340000,2340000
55,15624,735,3,385000,1155000
56,8722,625,5,553000,2765000
57,2408,571,1,1957000,1957000
58,22333,773,3,2120000,6360000
59,7463,458,3,810000,2430000
60,21796,9,1,272000,272000
61,20978,86,2,2738000,5476000
62,3513,48,2,6530000,13060000
63,4977,508,3,2219000,6657000
64,12408,63,4,201000,804000
65,19456,220,4,84000,336000
66,1108,560,2,46000,92000
67,311,346,3,203000,609000
68,18916,201,1,1122000,1122000
69,1334,128,5,1373000,6865000
70,16567,559,2,741000,1482000
71,4369,484,5,1414000,7070000
72,6683,244,5,232000,1160000
73,7679,677,2,7432000,14864000
74,23244,321,3,2017000,6051000
75,18176,739,4,135000,540000
76,13420,773,5,2120000,10600000
77,12747,312,4,1674000,6696000
78,17551,403,5,239000,1195000
79,14909,578,4,163000,652000
80,12892,165,3,1704000,5112000
81,23543,602,2,2723000,5446000
82,6371,495,3,522000,1566000
83,16958,449,2,167000,334000
84,4914,470,1,911000,911000
85,1380,684,4,171000,684000
86,15062,793,4,172000,688000
87,22186,534,2,201000,402000
88,20787,772,2,493000,986000
89,1259,452,3,305000,915000
90,24470,721,3,705000,2115000
91,5928,267,2,1525000,3050000
92,1341,785,4,4109000,16436000
93,8934,116,1,6017000,6017000
94,1803,24,3,579000,1737000
95,21078,435,4,333000,1332000
96,8894,401,3,78000,234000
97,23287,722,4,4600000,18400000
98,6238,631,2,1796000,3592000
99,5445,381,1,282000,282000
100,2789,797,2,3798000,7596000
101,2011,231,1,2547000,2547000
102,3830,18,3,1273000,3819000
103,24093,304,5,202000,1010000
104,20925,734,5,391000,1955000
105,24955,174,3,1136000,3408000
106,21412,562,4,83000,332000
107,19789,549,3,3131000,9393000
108,12290,104,2,1680000,3360000
109,7582,77,2,24000,48000
110,620,164,4,1388000,5552000
111,941,71,4,1185000,4740000
112,158,29,3,1858000,5574000
113,5868,797,2,3798000,7596000
114,21516,738,4,2670000,10680000
115,5070,667,2,191000,382000
116,23414,361,4,803000,3212000
117,695,522,4,1870000,7480000
118,427,574,3,130000,390000
119,24918,353,4,944000,3776000
120,21772,98,5,4257000,21285000
121,23085,718,4,330000,1320000
122,15310,561,1,1104000,1104000
123,8804,222,4,212000,848000
124,11449,29,1,1858000,1858000
125,3279,121,5,1287000,6435000
126,14108,61,1,183000,183000
127,9072,614,5,194000,970000
128,10309,735,4,385000,1540000
