IdMovimiento,IdProducto,FechaMovimiento,TipoMovimiento,Cantidad,Observacion
1,227,2024-06-13,Ajuste,20,Producto vencido/obsoleto
2,790,2024-03-05,Salida,9,Muestra comercial
3,218,2024-04-10,Entrada,130,Traslado entre sucursales
4,699,2024-03-02,Salida,4,Muestra comercial
5,493,2025-06-26,Ajuste,9,Corrección de inventario
6,534,2025-12-01,Entrada,91,Reposición de stock
7,172,2024-05-20,Salida,8,Muestra comercial
8,275,2025-07-30,Entrada,151,Reposición de stock
9,781,2025-08-26,Entrada,97,Compra proveedor
10,377,2025-01-23,Ajuste,5,Diferencia en auditoría
11,597,2024-10-16,Ajuste,13,Corrección de inventario
12,322,2024-01-30,Entrada,127,Compra proveedor
13,292,2025-04-11,Salida,10,Producto dañado
14,493,2025-10-11,Entrada,180,Devolución de cliente
15,369,2024-07-11,Salida,5,Producto dañado
16,727,2024-09-07,Salida,10,Venta
17,431,2024-01-11,Entrada,28,Devolución de cliente
18,528,2025-06-03,Salida,4,Venta
19,701,2024-10-20,Ajuste,7,Conteo físico
20,273,2024-02-20,Ajuste,3,Producto vencido/obsoleto
21,321,2025-08-05,Salida,9,Muestra comercial
22,359,2025-12-28,Salida,3,Venta
23,587,2024-07-26,Ajuste,8,Conteo físico
24,216,2024-05-04,Entrada,199,Traslado entre sucursales
25,692,2025-01-28,Entrada,188,Compra proveedor
26,69,2025-09-02,Salida,7,Venta
27,765,2024-10-03,Salida,7,Producto dañado
28,678,2024-01-23,Ajuste,2,Diferencia en auditoría
29,639,2025-06-28,Salida,3,Producto dañado
30,744,2025-01-09,Salida,6,Producto dañado
31,262,2025-07-10,Entrada,50,Devolución de cliente
32,153,2024-04-23,Salida,2,Traslado a otra sucursal
33,317,2025-05-29,Salida,2,Muestra comercial
34,423,2025-04-19,Salida,1,Venta
35,242,2025-03-08,Entrada,11,Devolución de cliente
36,366,2024-09-04,Salida,8,Muestra comercial
37,440,2024-12-09,Salida,1,Traslado a otra sucursal
38,687,2024-02-20,Salida,9,Traslado a otra sucursal
39,39,2025-09-10,Ajuste,7,Conteo físico
40,267,2024-03-25,Salida,2,Producto dañado
41,665,2024-03-21,Entrada,88,Compra proveedor
42,525,2025-04-02,Entrada,49,Devolución de cliente
43,313,2025-03-18,Entrada,37,Reposición de stock
44,170,2025-08-24,Entrada,41,Devolución de cliente
45,641,2024-02-29,Entrada,20,Traslado entre sucursales
46,49,2024-04-14,Salida,4,Muestra comercial
47,173,2024-08-22,Salida,7,Producto dañado
48,678,2025-04-09,Entrada,129,Compra proveedor
49,719,2024-08-16,Salida,2,Traslado a otra sucursal
50,418,2024-03-30,Salida,5,Producto dañado
51,344,2024-09-11,Entrada,181,Traslado entre sucursales
52,228,2024-02-08,Entrada,186,Reposición de stock
53,71,2024-06-08,Entrada,24,Devolución de cliente
54,270,2025-10-05,Entrada,138,Reposición de stock
55,260,2024-07-17,Entrada,136,Reposición de stock
56,299,2024-03-05,Ajuste,16,Corrección de inventario
57,145,2024-03-09,Salida,3,Venta
58,715,2024-07-08,Salida,1,Venta
59,116,2024-11-25,Entrada,66,Traslado entre sucursales
60,357,2024-06-23,Salida,6,Muestra comercial
61,730,2024-10-10,Entrada,122,Reposición de stock
62,184,2024-01-04,Entrada,149,Reposición de stock
63,241,2025-10-14,Ajuste,9,Conteo físico
64,118,2025-01-24,Entrada,66,Compra proveedor
65,157,2024-02-13,Salida,2,Producto dañado
66,605,2024-11-21,Salida,9,Muestra comercial
67,660,2025-08-02,Salida,5,Traslado a otra sucursal
68,495,2024-12-11,Entrada,100,Devolución de cliente
