IdProducto,NombreProducto,Precio,Stock,IdCategoria,IdMarca
1,Monitor 24 pulgadas Pro,1963000,148,10,1
2,Monitor Gamer 144Hz Plus,2297000,117,10,1
3,Monitor 24 pulgadas 4,2261000,171,10,6
4,Laptop Vivobook,4260000,25,1,4
5,Silla Gamer Plus,1604000,174,5,12
6,Audífonos Inalámbricos Lite,1704000,12,6,10
7,Barra de Sonido Pro,1231000,197,6,10
8,Repetidor Wifi Pro,604000,22,9,16
9,Audífonos Inalámbricos Plus,272000,184,6,10
10,Redmi Note 13 Lite,6164000,47,2,9
11,Asistente de Voz Plus,393000,112,7,14
12,Audífonos Inalámbricos,294000,48,6,10
13,Monitor 4K Max,1196000,101,10,3
14,"Monitor Curvo 27""",2147000,67,10,1
15,Tab M10 Pro,2216000,26,3,5
16,Mousepad XL Plus,1043000,113,5,12
17,Laptop Vivobook 2,3797000,6,1,4
18,Impresora Láser Pro,1273000,165,8,15
19,Mouse Inalámbrico Pro,25000,156,4,19
20,Escáner de Documentos Max,1541000,49,8,18
21,Cámara de Seguridad Lite,314000,180,7,14
22,Audífonos Cancelación de Ruido Plus,552000,81,6,10
23,Router Wifi 6 Plus,817000,63,9,16
24,Router Wifi 6 5,579000,137,9,20
25,Audífonos Inalámbricos 3,1533000,165,6,10
26,Repetidor Wifi Max,136000,117,9,20
27,Monitor Gamer 144Hz Lite,721000,43,10,1
28,MacBook Air 5,1983000,88,1,2
29,Impresora Multifuncional,1858000,70,8,15
30,Monitor 24 pulgadas Lite,2257000,180,10,3
31,iPad 10 Plus,2858000,178,3,17
32,Mouse Gaming RGB Max,1808000,36,5,12
33,Router Wifi 6,827000,193,9,16
34,Parlante Bluetooth Max,193000,135,6,9
35,Enchufe Inteligente Max,228000,46,7,14
36,MacBook Air Plus,2247000,24,1,8
37,Cámara de Seguridad 4,537000,35,7,14
38,Parlante Bluetooth Plus,432000,181,6,10
39,Cámara de Seguridad Pro,313000,102,7,14
40,Cargador USB-C Plus,138000,192,4,19
41,Redmi Note 13 Max,1311000,142,2,17
42,ThinkPad E14 Pro,1515000,135,1,8
43,ThinkPad E14 Plus,1732000,145,1,3
44,Monitor 24 pulgadas Pro,2540000,46,10,3
45,Access Point 1,242000,153,9,20
46,Audífonos Inalámbricos 4,1679000,45,6,9
47,Repetidor Wifi Max,121000,137,9,20
48,Redmi Note 13 Plus,6530000,46,2,9
49,"Monitor Curvo 27"" Lite",1260000,154,10,6
50,MatePad 11 Lite,2479000,29,3,5
51,Access Point Plus,228000,61,9,14
52,Escáner de Documentos Plus,473000,122,8,15
53,Monitor 24 pulgadas Max,2681000,133,10,1
54,Asistente de Voz Pro,510000,195,7,14
55,Cable HDMI Lite,119000,21,4,19
56,Escáner de Documentos Plus,1527000,123,8,4
57,Monitor 4K Plus,681000,135,10,1
58,Laptop Inspiron Max,6292000,138,1,4
59,Galaxy Tab S9,798000,77,3,5
60,Asistente de Voz,495000,189,7,14
61,Access Point Pro,183000,117,9,20
62,Tab M10 1,1454000,126,3,2
63,Mouse Inalámbrico Pro,201000,29,4,7
64,Mouse Gaming RGB Pro,1735000,58,5,7
