IdProveedor,Empresa,IdCiudad,Telefono,Correo
1,Quiroz Import,7,663263976,contacto1@quiroz.com
2,López Group,5,627271480,contacto2@lopez.com
3,Rojas S.A.,4,631590963,contacto3@rojas.com
4,Mora Group,1,661062345,contacto4@mora.com
5,Toro S.A.S,9,651059000,contacto5@toro.com
6,Morales Distribuciones,9,659461124,contacto6@morales.com
7,Fernández Ltda,13,689005548,contacto7@fernandez.com
8,Mendoza Distribuciones,2,689355484,contacto8@mendoza.com
9,Yepes Distribuciones,4,616426332,contacto9@yepes.com
10,Díaz S.A.S,6,624488102,contacto10@diaz.com
11,Mosquera S.A.S,5,645116714,contacto11@mosquera.com
12,Rivera Ltda,6,616783277,contacto12@rivera.com
13,Rojas Import,2,679384130,contacto13@rojas.com
14,Torres Distribuciones,3,635506505,contacto14@torres.com
15,González Ltda,8,627384516,contacto15@gonzalez.com
16,Bustamante Import,2,619716766,contacto16@bustamante.com
17,González Distribuciones,12,663413141,contacto17@gonzalez.com
18,González S.A.S,6,676585397,contacto18@gonzalez.com
19,Hernández Import,11,677641530,contacto19@hernandez.com
20,Castellanos Group,3,627365629,contacto20@castellanos.com
21,Rueda Ltda,12,647627134,contacto21@rueda.com
22,Velásquez Distribuciones,12,676396410,contacto22@velasquez.com
23,Gómez S.A.,6,681003442,contacto23@gomez.com
24,Valencia Group,8,628780455,contacto24@valencia.com
25,González Distribuciones,9,635939830,contacto25@gonzalez.com
26,Gutiérrez Import,3,614978832,contacto26@gutierrez.com
27,Carvajal Import,7,679717003,contacto27@carvajal.com
28,Álvarez Distribuciones,6,628893684,contacto28@alvarez.com
29,Obando Import,6,633564574,contacto29@obando.com
30,Marín Group,11,675310024,contacto30@marin.com
31,Cortés S.A.,11,617030040,contacto31@cortes.com
32,Gutiérrez Ltda,12,652122647,contacto32@gutierrez.com
33,Ordóñez S.A.,1,629839255,contacto33@ordonez.com
34,Díaz Import,9,656640984,contacto34@diaz.com
35,García S.A.S,12,681177007,contacto35@garcia.com
36,Sepúlveda S.A.,5,648618724,contacto36@sepulveda.com
37,Acosta Import,2,619240805,contacto37@acosta.com
38,Duarte Ltda,6,643351181,contacto38@duarte.com
39,Díaz Import,9,619283958,contacto39@diaz.com
40,Molano Distribuciones,1,617251412,contacto40@molano.com
41,Rincón Ltda,12,659036707,contacto41@rincon.com
42,López Group,1,649860596,contacto42@lopez.com
43,Mendoza Distribuciones,6,648507846,contacto43@mendoza.com
44,Navarro S.A.,6,662905304,contacto44@navarro.com
45,García S.A.S,6,648490499,contacto45@garcia.com
46,Sánchez S.A.,12,667589020,contacto46@sanchez.com
47,Castillo S.A.,5,618779565,contacto47@castillo.com
48,Vega Ltda,6,667264883,contacto48@vega.com
49,López Ltda,5,638323816,contacto49@lopez.com
50,Velandia Import,12,683737887,contacto50@velandia.com
51,Mantilla Import,9,665380916,contacto51@mantilla.com
52,Martínez Import,2,655361251,contacto52@martinez.com
53,Bastidas Import,9,639066890,contacto53@bastidas.com
54,Quintero S.A.,4,642702240,contacto54@quintero.com
55,Hurtado Ltda,5,677156803,contacto55@hurtado.com
56,Arroyo Ltda,7,616782774,contacto56@arroyo.com
57,González Distribuciones,5,623667763,contacto57@gonzalez.com
58,Velasco S.A.S,13,645006124,contacto58@velasco.com
59,Bonilla Distribuciones,1,662886184,contacto59@bonilla.com
60,Castro Ltda,8,638622323,contacto60@castro.com
61,Forero S.A.,11,639710512,contacto61@forero.com
62,Murillo Group,7,655691141,contacto62@murillo.com
63,Castro Import,13,653951665,contacto63@castro.com
64,Angulo Distribuciones,8,678747316,contacto64@angulo.com
65,Franco S.A.S,1,655836057,contacto65@franco.com
66,Castillo Group,4,671346414,contacto66@castillo.com
67,Acosta Import,9,676280435,contacto67@acosta.com
68,Agudelo Ltda,6,647675597,contacto68@agudelo.com
69,Parra Distribuciones,4,652612975,contacto69@parra.com
70,Ramos Distribuciones,5,613498604,contacto70@ramos.com
71,Castro Ltda,8,685331781,contacto71@castro.com
72,Solano Distribuciones,13,633791482,contacto72@solano.com
73,González Import,3,637754759,contacto73@gonzalez.com
74,Vargas Group,5,614012469,contacto74@vargas.com
75,Zapata S.A.,3,683805234,contacto75@zapata.com
76,Méndez Import,3,615583341,contacto76@mendez.com
77,Hernández Import,4,626523856,contacto77@hernandez.com
78,López S.A.S,11,663712385,contacto78@lopez.com
79,Martínez Import,5,646769498,contacto79@martinez.com
80,García Ltda,6,618862770,contacto80@garcia.com
