IdSucursal,NombreSucursal,Direccion,Telefono,IdCiudad
1,AndyStore Norte,Calle 100 #15-20,3001234567,1
2,AndyStore Centro,Cra 10 #20-30,3101234567,1
3,AndyStore Medellín,Cra 50 #40-10,3201111111,2
4,AndyStore Cali,Av 6N #28-50,3157894561,3
5,AndyStore Barranquilla,Cra 46 #75-30,3009876543,4
6,AndyStore Cartagena,Av Pedro de Heredia #31-15,3116549871,5
7,AndyStore Bucaramanga,Cra 27 #34-12,3187531598,6
8,AndyStore Pereira,Av Circunvalar #10-45,3123456780,7
9,AndyStore Ibagué,Cra 5 #12-20,3145678123,9
10,AndyStore Villavicencio,Cra 33 #18-40,3176543210,13
