IdVenta,FechaVenta,IdCliente,IdEmpleado,IdMetodoPago,Total
1,2025-10-12,692,24,6,33244000
2,2025-06-10,717,20,1,17228000
3,2024-05-06,2752,36,1,47361000
4,2025-05-30,1329,17,6,7718000
5,2024-10-01,194,3,6,21824000
6,2024-09-17,1252,42,6,11001000
7,2024-10-19,2672,30,6,5985000
8,2024-05-29,807,5,2,18400000
9,2024-05-23,793,10,6,15458000
10,2024-10-19,2201,40,6,25624000
11,2025-11-29,2543,47,2,44952000
12,2025-04-06,1796,50,6,4015000
13,2024-07-30,995,43,6,18748000
14,2025-10-22,2628,44,1,2135000
15,2025-05-16,696,2,1,15965000
16,2025-07-22,2208,25,1,24415000
17,2024-03-15,1945,23,2,9494000
18,2025-11-01,2224,4,3,7788000
19,2025-09-13,1586,16,3,31096000
20,2024-09-18,1348,46,1,365000
21,2024-02-03,1584,39,1,960000
22,2024-11-28,2946,35,3,14245000
23,2024-05-28,1093,40,1,27427000
24,2024-12-04,941,20,3,8296000
25,2024-02-06,2868,41,3,17532000
26,2025-06-11,284,46,6,7847000
27,2025-03-27,1943,33,6,9481000
28,2025-06-10,275,28,6,6875000
29,2024-06-25,1143,17,6,16132000
30,2025-11-17,1473,17,6,23852000
31,2025-03-13,220,35,1,13515000
32,2025-07-01,1482,45,3,18534000
33,2025-05-01,2469,40,1,16590000
34,2025-04-06,2886,36,3,1630000
35,2024-01-16,2629,44,6,22505000
36,2024-09-03,2637,39,3,5878000
37,2024-05-30,2199,30,3,10043000
38,2025-06-08,2708,17,3,8346000
39,2025-01-30,2549,37,3,6494000
40,2025-03-11,2402,34,3,27645000
41,2024-06-07,2829,39,2,8298000
42,2024-11-09,1289,31,3,7688000
43,2025-12-20,545,31,2,5468000
44,2024-10-07,1841,44,1,6704000
45,2024-09-16,1544,15,2,17808000
46,2024-04-01,2986,39,3,25522000
47,2025-01-25,2911,17,1,14840000
48,2024-10-01,542,14,3,10803000
49,2025-10-26,928,38,6,3491000
50,2024-06-15,2136,16,1,5813000
51,2025-08-04,423,10,2,37110000
52,2025-10-23,2702,36,6,41308000
53,2024-01-31,1606,11,3,1052000
54,2024-08-03,707,34,3,4505000
55,2024-02-20,2916,37,3,6346000
56,2024-08-05,688,10,3,28592000
57,2024-02-15,480,1,1,4788000
58,2024-08-23,720,1,3,44580000
59,2024-03-05,2834,34,6,5075000
60,2025-04-17,1778,25,3,20397000
61,2024-02-16,123,33,3,13037000
62,2025-11-18,2287,44,6,34527000
63,2025-01-30,499,1,3,11535000
64,2024-03-26,1211,13,6,6520000
65,2025-01-27,381,19,3,38138000
66,2024-08-28,2266,19,6,20402000
67,2025-10-27,1000,42,3,4991000
68,2025-08-26,2091,49,2,35792000
69,2025-05-09,1132,27,3,17438000
70,2025-10-18,567,13,6,16061000
71,2024-11-12,1674,38,6,30936000
72,2025-11-23,401,3,2,2922000
73,2024-07-22,70,30,6,24048000
74,2024-07-05,15,24,6,7368000
75,2024-12-03,2410,25,6,8452000
76,2024-03-17,1358,2,3,18302000
77,2025-03-22,1773,43,6,4750000
78,2025-03-08,1101,6,2,19770000
79,2024-01-14,2652,26,6,5710000
80,2024-11-02,355,46,3,8171000
81,2025-12-21,921,19,2,17628000
82,2025-04-02,2219,21,3,7836000
83,2025-02-12,2516,38,6,32351000
84,2025-09-25,1923,3,3,19245000
85,2025-09-21,62,24,3,36814000
86,2024-07-18,1761,27,3,5560000
87,2024-07-26,1206,36,1,23291000
88,2025-01-21,2189,47,3,761000
89,2025-08-01,2548,26,1,6052000
